Genome_ID	1.Gentamicin	1.Tobramycin	1.Streptomycin	1.Amikacin	1.Isepamicin	1.Dibekacin	1.Kanamycin	1.Neomycin	1.Lividomycin	1.Paromomycin	1.Ribostamycin	1.Butiromycin	1.Butirosin	1.Hygromycin	1.Netilmicin	1.Apramycin	1.Sisomicin	1.Arbekacin	1.Kasugamycin	1.Astromicin	1.Fortimicin	2.Spectinomycin	3.Fluoroquinolone	3.Ciprofloxacin	3.Nalidixic_acid	4.Amoxicillin	4.Amoxicillin+Clavulanic_acid	4.Ampicillin	4.Ampicillin+Clavulanic_acid	4.Cefepime	4.Cefixime	4.Cefotaxime	4.Cefoxitin	4.Ceftazidime	4.Ertapenem	4.Imipenem	4.Meropenem	4.Piperacillin	4.Piperacillin+Tazobactam	4.Aztreonam	4.Cefotaxime+Clavulanic_acid	4.Temocillin	4.Ticarcillin	4.Ceftazidime+Avibactam	4.Penicillin	4.Ceftriaxone	4.Ticarcillin+Clavulanic_acid	4.Cephalothin	4.Cephalotin	4.Piperacillin+Clavulanic_acid	5.Sulfamethoxazole	5.Trimethoprim	6.Fosfomycin	7.Vancomycin	7.Teicoplanin	8.Lincomycin	8.Clindamycin	9.Dalfopristin	9.Pristinamycin_IIA	9.Virginiamycin_M	9.Quinupristin+Dalfopristin	10.Tiamulin	11.Carbomycin	11.Erythromycin	11.Azithromycin	11.Oleandomycin	11.Spiramycin	11.Tylosin	11.Telithromycin	12.Tetracycline	12.Doxycycline	12.Minocycline	12.Tigecycline	13.Chloramphenicol	13.Florfenicol	14.Rifampicin	15.Quinupristin	15.Pristinamycin_IA	15.Virginiamycin_S	16.Linezolid	17.Colistin	18.Fusidic_acid	19.Mupirocin	20.Metronidazole	21.Formaldehyde	22.Benzylkonium_Chloride	22.Ethidium_Bromide	22.Chlorhexidine	22.Cetylpyridinium_Chloride	23.Hydrogen_peroxide	24.Temperature
Query	0	100.000	0	100.000	0	99.805	0	0	0	0	0	0	0	0	99.805	0	99.805	0	0	0	0	0	99.805	99.805	0	100.000	100.000	100.000	100.000	0	0	0	0	0	0	100.000	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
GCA_000018445.1	0	100.000	0	100.000	0	99.805	0	0	0	0	0	0	0	0	99.805	0	99.805	0	0	0	0	0	99.805	99.805	0	100.000	100.000	100.000	100.000	0	0	0	0	0	0	100.000	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
GCA_015537865.1	0	99.910	0	99.910	0	99.710	0	0	0	0	0	0	0	0	99.710	0	99.710	0	0	0	0	0	99.710	99.710	0	100.000	0	100.000	0	0	0	0	0	0	0	100.000	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.176	0	0	0	0	0	0	0	0	0	0	0	72.673	72.673	72.673	72.673	0	0
GCA_001420515.1	0	100.000	0	100.000	0	99.805	100.000	100.000	100.000	100.000	100.000	0	0	0	99.805	0	99.805	0	0	0	0	0	99.805	99.805	0	100.000	100.000	100.000	100.000	0	0	0	0	0	0	100.000	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
GCA_014531085.1	0	99.910	0	99.910	0	99.710	0	0	0	0	0	0	0	0	99.710	0	99.710	0	0	0	0	0	99.710	99.710	0	100.000	100.000	100.000	100.000	0	0	0	100.000	100.000	0	100.000	100.000	100.000	0	0	0	0	100.000	0	0	0	0	0	0	0	76.835	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
GCA_014531135.1	0	99.910	0	99.910	0	99.710	0	0	0	0	0	0	0	0	99.710	0	99.710	0	0	0	0	0	99.710	99.710	0	100.000	100.000	100.000	100.000	0	0	0	100.000	100.000	0	100.000	100.000	100.000	0	0	0	0	100.000	0	0	0	0	0	0	0	64.591	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
GCA_002119355.1	99.530	100.000	0	100.000	0	99.805	100.000	100.000	100.000	100.000	100.000	0	0	0	99.805	0	99.805	0	0	0	0	0	99.805	99.805	0	100.000	100.000	100.000	100.000	0	0	0	0	0	0	100.000	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
GCA_005519135.1	99.935	100.000	0	100.000	0	99.805	99.935	99.935	0	99.935	99.935	0	99.935	0	99.805	0	99.805	0	0	0	0	0	99.805	99.805	0	100.000	100.000	100.000	100.000	0	0	0	0	0	0	100.000	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
GCA_900444765.1	99.935	100.000	0	100.000	0	99.805	99.935	99.935	0	99.935	99.935	0	99.935	0	99.805	0	99.805	0	0	0	0	0	99.805	99.805	0	100.000	100.000	100.000	100.000	0	0	0	0	0	0	100.000	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
GCA_000189675.2	99.935	100.000	0	100.000	0	99.805	99.935	99.935	0	99.935	99.935	0	99.935	0	99.805	0	99.805	0	0	0	0	0	99.805	99.805	0	100.000	100.000	100.000	100.000	0	0	0	0	0	0	100.000	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	100.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.342	92.342	92.342	92.342	0	0
